,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
187,COLT,Samra,709939,https://open.spotify.com/track/76IVpz47q3ghkxoUeTTEKb
188,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","DJ Snake",708958,https://open.spotify.com/track/0KoiMHhqKLoL4xM54rcWYY
189,"Que Calor (with J Balvin & El Alfa)","Major Lazer",706744,https://open.spotify.com/track/1G2CAJeP7rCwOZjlSJ0Zw3
190,"Don't Call Me Up",Mabel,705020,https://open.spotify.com/track/5WHTFyqSii0lmT9R21abT8
191,Candy,"Doja Cat",704362,https://open.spotify.com/track/1VJwtWR6z7SpZRwipI12be
192,"Let Me Know (I Wonder Why Freestyle)","Juice WRLD",702313,https://open.spotify.com/track/3wwo0bJvDSorOpNfzEkfXx
193,"Bellaquita - Remix",Dalex,701387,https://open.spotify.com/track/1Xnn1TPyr5h0hpRAT4B4EA
194,"Thank God It's Christmas - Non-Album Single",Queen,700489,https://open.spotify.com/track/2xGO2UjzxeVQSIkyg98vck
195,"SLOW DANCING IN THE DARK",Joji,699917,https://open.spotify.com/track/0rKtyWc8bvkriBthvHKY8d
196,"Ne reviens pas",Gradur,697545,https://open.spotify.com/track/4TnFANpjVwVKWzkxNzIyFH
197,"Winter Wonderland","Tony Bennett",693972,https://open.spotify.com/track/4ricyQVd20UQde1jpXCSuJ
198,"Boy With Luv (feat. Halsey)",BTS,692561,https://open.spotify.com/track/5KawlOMHjWeUjQtnuRs22c
199,VIBEZ,DaBaby,691004,https://open.spotify.com/track/0fySG6A6qLE8IvDpayb5bM
200,"Higher Love",Kygo,686708,https://open.spotify.com/track/6oJ6le65B3SEqPwMRNXWjY
